id;title;link;pii;abstract
14;Indigenous Bacteria from the Gut Microbiota Regulate Host Serotonin Biosynthesis;https://api.elsevier.com/content/article/pii/[S0092867415002482];S0092867415002482;SummaryThe gastrointestinal (GI) tract contains much of theÂ bodyâs serotonin (5-hydroxytryptamine, 5-HT), but mechanisms controlling the metabolism of gut-derived 5-HT remain unclear. Here, we demonstrate that the microbiota plays a critical role in regulating host 5-HT. Indigenous spore-forming bacteria (Sp) from the mouse and human microbiota promote 5-HT biosynthesis from colonic enterochromaffin cells (ECs), which supply 5-HT to the mucosa, lumen, and circulating platelets. Importantly, microbiota-dependent effects on gut 5-HT significantly impact host physiology, modulating GI motility and platelet function. We identify select fecal metabolites that are increased by Sp and that elevate 5-HT in chromaffin cell cultures, suggesting direct metabolic signaling of gut microbes to ECs. Furthermore, elevating luminal concentrations of particular microbial metabolites increases colonic and blood 5-HT in germ-free mice. Altogether, these findings demonstrate that Sp are important modulators of host 5-HT and further highlight a key role for host-microbiota interactions in regulating fundamental 5-HT-related biological processes.
15;Integrative clinical genomics of advanced prostate cancer;https://api.elsevier.com/content/article/pii/[S0092867415005486];S0092867415005486;SummaryToward development of a precision medicine framework for metastatic, castration-resistant prostate cancer (mCRPC), we established a multi-institutional clinical sequencing infrastructure to conduct prospective whole-exome and transcriptome sequencing of bone or soft tissue tumor biopsies from a cohort of 150 mCRPC affected individuals. Aberrations of AR, ETS genes, TP53, and PTEN were frequent (40%â60% of cases), with TP53 and AR alterations enriched in mCRPC compared to primary prostate cancer. We identified new genomic alterations in PIK3CA/B, R-spondin, BRAF/RAF1, APC, Î²-catenin, and ZBTB16/PLZF. Moreover, aberrations of BRCA2, BRCA1, and ATM were observed at substantially higher frequencies (19.3% overall) compared to those in primary prostate cancers. 89% of affected individuals harbored a clinically actionable aberration, including 62.7% with aberrations in AR, 65% in other cancer-related genes, and 8% with actionable pathogenic germline alterations. This cohort study provides clinically actionable information that could impact treatment decisions for these affected individuals.
16;Disruptions of Topological Chromatin Domains Cause Pathogenic Rewiring of Gene-Enhancer Interactions;https://api.elsevier.com/content/article/pii/[S0092867415003773];S0092867415003773;SummaryMammalian genomes are organized into megabase-scale topologically associated domains (TADs). We demonstrate that disruption of TADs can rewire long-range regulatory architecture and result in pathogenic phenotypes. We show that distinct human limb malformations are caused by deletions, inversions, or duplications altering the structure of the TAD-spanning WNT6/IHH/EPHA4/PAX3 locus. Using CRISPR/Cas genome editing, we generated mice with corresponding rearrangements. Both in mouse limb tissue and patient-derived fibroblasts, disease-relevant structural changes cause ectopic interactions between promoters and non-coding DNA, and a cluster of limb enhancers normally associated with Epha4 is misplaced relative to TAD boundaries and drives ectopic limb expression of another gene in the locus. This rewiring occurred only if the variant disrupted a CTCF-associated boundary domain. Our results demonstrate the functional importance of TADs for orchestrating gene expression via genome architecture and indicate criteria for predicting the pathogenicity of human structural variants, particularly in non-coding regions of the human genome.
17;Hydrogel: Preparation, characterization, and applications: A review;https://api.elsevier.com/content/article/pii/[S2090123213000969];S2090123213000969;AbstractHydrogel products constitute a group of polymeric materials, the hydrophilic structure of which renders them capable of holding large amounts of water in their three-dimensional networks. Extensive employment of these products in a number of industrial and environmental areas of application is considered to be of prime importance. As expected, natural hydrogels were gradually replaced by synthetic types due to their higher water absorption capacity, long service life, and wide varieties of raw chemical resources. Literature on this subject was found to be expanding, especially in the scientific areas of research. However, a number of publications and technical reports dealing with hydrogel products from the engineering points of view were examined to overview technological aspects covering this growing multidisciplinary field of research. The primary objective of this article is to review the literature concerning classification of hydrogels on different bases, physical and chemical characteristics of these products, and technical feasibility of their utilization. It also involved technologies adopted for hydrogel production together with process design implications, block diagrams, and optimized conditions of the preparation process. An innovated category of recent generations of hydrogel materials was also presented in some details.
18;Acrofacial Dysostosis, Cincinnati Type, a Mandibulofacial Dysostosis Syndrome with Limb Anomalies, Is Caused by POLR1A Dysfunction;https://api.elsevier.com/content/article/pii/[S0002929715001123];S0002929715001123;We report three individuals with a cranioskeletal malformation syndrome that we define as acrofacial dysostosis, Cincinnati type. Each individual has a heterozygous mutation in POLR1A, which encodes a core component of RNA polymerase 1. All three individuals exhibit varying degrees of mandibulofacial dysostosis, and two additionally have limb anomalies. Consistent with this observation, we discovered that polr1a mutant zebrafish exhibited cranioskeletal anomalies mimicking the human phenotype. polr1a loss of function led to perturbed ribosome biogenesis and p53-dependent cell death, resulting in a deficiency of neural-crest-derived skeletal precursor cells and consequently craniofacial anomalies. Our findings expand the genotypic and phenotypic heterogeneity of congenital acrofacial disorders caused by disruption of ribosome biogenesis.
19;An Adenine Code for DNA: A Second Life for N6-Methyladenine;https://api.elsevier.com/content/article/pii/[S0092867415004389];S0092867415004389;DNA N6-methyladenine (6mA) protects against restriction enzymes in bacteria. However, isolated reports have suggested additional activities and its presence in other organisms, such as unicellular eukaryotes. New data now find that 6mA may have a gene regulatory function in green alga, worm, and fly, suggesting m6A as a potential âepigeneticâ mark.
20;CRISPR-Cas9 Knockin Mice for Genome Editing and Cancer Modeling;https://api.elsevier.com/content/article/pii/[S0092867414011635];S0092867414011635;SummaryCRISPR-Cas9 is a versatile genome editing technology for studying the functions of genetic elements. To broadly enable the application of Cas9 inÂ vivo, we established a Cre-dependent Cas9 knockin mouse. We demonstrated inÂ vivo as well as exÂ vivoÂ genome editing using adeno-associated virus (AAV)-, lentivirus-, or particle-mediated delivery of guide RNA in neurons, immune cells, and endothelial cells. Using these mice, we simultaneously modeled the dynamics of KRAS, p53, and LKB1, the top three significantly mutated genes in lung adenocarcinoma. Delivery of a single AAV vector in the lung generated loss-of-function mutations in p53 and Lkb1, as wellÂ as homology-directed repair-mediated KrasG12D mutations, leading to macroscopic tumors of adenocarcinoma pathology. Together, these results suggest that Cas9 mice empower a wide range of biological and disease modeling applications.
21;Hallmarks of Cancer: The Next Generation;https://api.elsevier.com/content/article/pii/[S0092867411001279];S0092867411001279;The hallmarks of cancer comprise six biological capabilities acquired during the multistep development of human tumors. The hallmarks constitute an organizing principle for rationalizing the complexities of neoplastic disease. They include sustaining proliferative signaling, evading growth suppressors, resisting cell death, enabling replicative immortality, inducing angiogenesis, and activating invasion and metastasis. Underlying these hallmarks are genome instability, which generates the genetic diversity that expedites their acquisition, and inflammation, which fosters multiple hallmark functions. Conceptual progress in the last decade has added two emerging hallmarks of potential generality to this listâreprogramming of energy metabolism and evading immune destruction. In addition to cancer cells, tumors exhibit another dimension of complexity: they contain a repertoire of recruited, ostensibly normal cells that contribute to the acquisition of hallmark traits by creating the âtumor microenvironment.â Recognition of the widespread applicability of these concepts will increasingly affect the development of new means to treat human cancer.
22;Highly parallel genome-wide expression profiling of individual cells using nanoliter droplets;https://api.elsevier.com/content/article/pii/[S0092867415005498];S0092867415005498;SummaryCells, the basic units of biological structure and function, vary broadly in type and state. Single-cell genomics can characterize cell identity and function, but limitations of ease and scale have prevented its broad application. Here we describe Drop-seq, a strategy for quickly profiling thousands of individualÂ cells by separating them into nanoliter-sized aqueous droplets, associating a different barcode with each cellâs RNAs, and sequencing them all together. Drop-seq analyzes mRNA transcripts from thousands of individual cells simultaneously while remembering transcriptsâ cell of origin. We analyzed transcriptomes from 44,808 mouse retinal cells and identified 39 transcriptionally distinct cell populations, creating a molecularÂ atlas of gene expression for known retinal cell classes and novel candidate cell subtypes. Drop-seqÂ will accelerate biological discovery by enablingÂ routine transcriptional profiling at single-cell resolution.Video Abstract
23;Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors;https://api.elsevier.com/content/article/pii/[S0092867406009767];S0092867406009767;SummaryDifferentiated cells can be reprogrammed to an embryonic-like state by transfer of nuclear contents into oocytes or by fusion with embryonic stem (ES) cells. Little is known about factors that induce this reprogramming. Here, we demonstrate induction of pluripotent stem cells from mouse embryonic or adult fibroblasts by introducing four factors, Oct3/4, Sox2, c-Myc, and Klf4, under ES cell culture conditions. Unexpectedly, Nanog was dispensable. These cells, which we designated iPS (induced pluripotent stem) cells, exhibit the morphology and growth properties of ES cells and express ES cell marker genes. Subcutaneous transplantation of iPS cells into nude mice resulted in tumors containing a variety of tissues from all three germ layers. Following injection into blastocysts, iPS cells contributed to mouse embryonic development. These data demonstrate that pluripotent stem cells can be directly generated from fibroblast cultures by the addition of only a few defined factors.
24;Droplet Barcoding for Single-Cell Transcriptomics Applied to Embryonic Stem Cells;https://api.elsevier.com/content/article/pii/[S0092867415005000];S0092867415005000;SummaryIt has long been the dream of biologists to map gene expression at the single-cell level. With such data one might track heterogeneous cell sub-populations, and infer regulatory relationships between genes and pathways. Recently, RNA sequencing has achieved single-cell resolution. What is limiting is an effective way to routinely isolate and process large numbers of individual cells for quantitative in-depth sequencing. We have developed a high-throughput droplet-microfluidic approach for barcoding the RNA from thousands of individual cells for subsequent analysis by next-generation sequencing. The method shows a surprisingly low noise profile and is readily adaptable to other sequencing-based assays. We analyzed mouse embryonic stem cells, revealing in detail the population structure and the heterogeneous onset of differentiation after leukemia inhibitory factor (LIF) withdrawal. The reproducibility of these high-throughput single-cell data allowed usÂ to deconstruct cell populations and infer gene expression relationships.Video Abstract
25;Effect of bypassing the proximal gut on gut hormones involved with glycemic control and weight loss;https://api.elsevier.com/content/article/pii/[S1550728912000664];S1550728912000664;AbstractBackgroundThe reported remission of type 2 diabetes in patients undergoing Roux-en-Y gastric bypass has brought the role of the gut in glucose metabolism into focus. Our objective was to explore the differential effects on glucose homeostasis after oral versus gastrostomy glucose loading in patients with Roux-en-Y gastric bypass at an academic health science center.MethodsA comparative controlled investigation of oral versus gastrostomy glucose loading in 5 patients who had previously undergone gastric bypass and had a gastrostomy tube placed in the gastric remnant for feeding. A standard glucose load was administered either orally (day 1) or by the gastrostomy tube (day 2). The plasma levels of glucose, insulin, glucagon-like peptide 1 and peptide YY were measured before and after glucose loading.ResultsExclusion of the proximal small bowel from glucose passage induced greater plasma insulin, glucagon-like peptide 1, and peptide YY responses compared with glucose loading by way of the gastrostomy tube (P &lt,.05).ConclusionsExclusion of glucose passage through the proximal small bowel results in enhanced insulin and gut hormone responses in patients after gastric bypass. The gut plays a central role in glucose metabolism and represents a target for future antidiabetes therapies.
26;Systematic Discovery of Xist RNA Binding Proteins;https://api.elsevier.com/content/article/pii/[S0092867415003128];S0092867415003128;SummaryNoncoding RNAs (ncRNAs) function with associated proteins to effect complex structural and regulatoryÂ outcomes. To reveal the composition and dynamics of specific noncoding RNA-protein complexes (RNPs) inÂ vivo, we developed comprehensive identification of RNA binding proteins by mass spectrometry (ChIRP-MS). ChIRP-MS analysis of four ncRNAs captures key protein interactors, including a U1-specific link to the 3â² RNA processing machinery. Xist, anÂ essential lncRNA for X chromosome inactivation (XCI), interacts with 81 proteins from chromatin modification, nuclear matrix, and RNA remodeling pathways. The Xist RNA-protein particle assembles in two steps coupled with the transition from pluripotency to differentiation. Specific interactors include HnrnpK, which participates in Xist-mediated gene silencing and histone modifications but not Xist localization, and Drosophila Split ends homolog Spen, which interacts via the A-repeat domain of Xist and is required for gene silencing. Thus, Xist lncRNA engages with proteins in a modular and developmentally controlled manner to coordinate chromatin spreading and silencing.
27;Genome-wide CRISPR Screen in a Mouse Model of Tumor Growth and Metastasis;https://api.elsevier.com/content/article/pii/[S0092867415002044];S0092867415002044;SummaryGenetic screens are powerful tools for identifying genes responsible for diverse phenotypes. Here we describe a genome-wide CRISPR/Cas9-mediated loss-of-function screen in tumor growth and metastasis. We mutagenized a non-metastatic mouse cancer cell line using a genome-scale library with 67,405 single-guide RNAs (sgRNAs). The mutant cell pool rapidly generates metastases when transplanted into immunocompromised mice. Enriched sgRNAs in lung metastases and late-stage primary tumors were found to target a small set of genes, suggesting that specific loss-of-function mutations drive tumor growth and metastasis. Individual sgRNAs and a small pool of 624 sgRNAs targeting the top-scoring genes from the primary screen dramatically accelerate metastasis. In all of these experiments, the effect of mutations on primary tumor growth positively correlates with the development of metastases. Our study demonstrates Cas9-based screening as a robust method to systematically assay gene phenotypes in cancer evolution inÂ vivo.
28;Indigenous Bacteria from the Gut Microbiota Regulate Host Serotonin Biosynthesis;https://api.elsevier.com/content/article/pii/[S0092867415002482];S0092867415002482;SummaryThe gastrointestinal (GI) tract contains much of theÂ bodyâs serotonin (5-hydroxytryptamine, 5-HT), but mechanisms controlling the metabolism of gut-derived 5-HT remain unclear. Here, we demonstrate that the microbiota plays a critical role in regulating host 5-HT. Indigenous spore-forming bacteria (Sp) from the mouse and human microbiota promote 5-HT biosynthesis from colonic enterochromaffin cells (ECs), which supply 5-HT to the mucosa, lumen, and circulating platelets. Importantly, microbiota-dependent effects on gut 5-HT significantly impact host physiology, modulating GI motility and platelet function. We identify select fecal metabolites that are increased by Sp and that elevate 5-HT in chromaffin cell cultures, suggesting direct metabolic signaling of gut microbes to ECs. Furthermore, elevating luminal concentrations of particular microbial metabolites increases colonic and blood 5-HT in germ-free mice. Altogether, these findings demonstrate that Sp are important modulators of host 5-HT and further highlight a key role for host-microbiota interactions in regulating fundamental 5-HT-related biological processes.
29;Integrative clinical genomics of advanced prostate cancer;https://api.elsevier.com/content/article/pii/[S0092867415005486];S0092867415005486;SummaryToward development of a precision medicine framework for metastatic, castration-resistant prostate cancer (mCRPC), we established a multi-institutional clinical sequencing infrastructure to conduct prospective whole-exome and transcriptome sequencing of bone or soft tissue tumor biopsies from a cohort of 150 mCRPC affected individuals. Aberrations of AR, ETS genes, TP53, and PTEN were frequent (40%â60% of cases), with TP53 and AR alterations enriched in mCRPC compared to primary prostate cancer. We identified new genomic alterations in PIK3CA/B, R-spondin, BRAF/RAF1, APC, Î²-catenin, and ZBTB16/PLZF. Moreover, aberrations of BRCA2, BRCA1, and ATM were observed at substantially higher frequencies (19.3% overall) compared to those in primary prostate cancers. 89% of affected individuals harbored a clinically actionable aberration, including 62.7% with aberrations in AR, 65% in other cancer-related genes, and 8% with actionable pathogenic germline alterations. This cohort study provides clinically actionable information that could impact treatment decisions for these affected individuals.
30;Disruptions of Topological Chromatin Domains Cause Pathogenic Rewiring of Gene-Enhancer Interactions;https://api.elsevier.com/content/article/pii/[S0092867415003773];S0092867415003773;SummaryMammalian genomes are organized into megabase-scale topologically associated domains (TADs). We demonstrate that disruption of TADs can rewire long-range regulatory architecture and result in pathogenic phenotypes. We show that distinct human limb malformations are caused by deletions, inversions, or duplications altering the structure of the TAD-spanning WNT6/IHH/EPHA4/PAX3 locus. Using CRISPR/Cas genome editing, we generated mice with corresponding rearrangements. Both in mouse limb tissue and patient-derived fibroblasts, disease-relevant structural changes cause ectopic interactions between promoters and non-coding DNA, and a cluster of limb enhancers normally associated with Epha4 is misplaced relative to TAD boundaries and drives ectopic limb expression of another gene in the locus. This rewiring occurred only if the variant disrupted a CTCF-associated boundary domain. Our results demonstrate the functional importance of TADs for orchestrating gene expression via genome architecture and indicate criteria for predicting the pathogenicity of human structural variants, particularly in non-coding regions of the human genome.
31;Hydrogel: Preparation, characterization, and applications: A review;https://api.elsevier.com/content/article/pii/[S2090123213000969];S2090123213000969;AbstractHydrogel products constitute a group of polymeric materials, the hydrophilic structure of which renders them capable of holding large amounts of water in their three-dimensional networks. Extensive employment of these products in a number of industrial and environmental areas of application is considered to be of prime importance. As expected, natural hydrogels were gradually replaced by synthetic types due to their higher water absorption capacity, long service life, and wide varieties of raw chemical resources. Literature on this subject was found to be expanding, especially in the scientific areas of research. However, a number of publications and technical reports dealing with hydrogel products from the engineering points of view were examined to overview technological aspects covering this growing multidisciplinary field of research. The primary objective of this article is to review the literature concerning classification of hydrogels on different bases, physical and chemical characteristics of these products, and technical feasibility of their utilization. It also involved technologies adopted for hydrogel production together with process design implications, block diagrams, and optimized conditions of the preparation process. An innovated category of recent generations of hydrogel materials was also presented in some details.
